date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:14	37484/37484	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:42%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/index.html	(from )
12:00:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Oct%202021%2009:00:16%20GMT	https://gambolthemes.net/robots.txt		(from )
12:00:16	1053/1053	---M--	200	added ('OK')	image/png	etag:%22b3a3e3b-41d-5976f16f6f280%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/images/fav.png	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/images/fav.png	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:16	9964/9964	---MCZ	200	added ('OK')	text/css	etag:W/%22b3a3e04-357a-59be67dfbf180-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/css/responsive.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/css/responsive.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:17	90950/90950	---MCZ	200	added ('OK')	text/css	etag:W/%22b3a3e6b-1d5a5-59cc975f84b1b-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/css/style.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/css/style.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:17	12257/12257	---M-Z	200	added ('OK')	text/css	etag:%22b3a3e01-2fe1-53d6eebb8b180-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/css/datepicker.min.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/css/datepicker.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:17	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%22b3e245c-2606e-581d322792300-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/bootstrap/css/bootstrap.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:17	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%22b3e2bc8-da9f-58a8b073bcc80-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/fontawesome-free/css/all.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:18	3251/3251	---MCZ	200	added ('OK')	text/css	etag:W/%22b42044d-127d-5958b72688b00-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/OwlCarousel/assets/owl.carousel.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/OwlCarousel/assets/owl.carousel.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:18	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%22b420450-3f5-56a4c2f77ea80-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/OwlCarousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/OwlCarousel/assets/owl.theme.default.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:18	628518/628518	---MCZ	200	added ('OK')	text/css	etag:%22b42050d-99726-598a98c485980-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/semantic/semantic.min.css	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/vendor/semantic/semantic.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:18	13368/13368	---M--	200	added ('OK')	image/jpeg	etag:%22b3a3e47-3438-59487e2e97600%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/images/user-dp-1.jpg	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/images/user-dp-1.jpg	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:19	22824/22824	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:00%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_messages.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_messages.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:20	21437/21437	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:07:54%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_notifications.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_notifications.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:20	930/930	---M--	200	added ('OK')	image/jpeg	etag:%22b3a3e3a-3a2-5976fc55e2a00%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/images/dp.jpg	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/images/dp.jpg	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:21	28397/28397	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:16%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_dashboard.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_dashboard.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:21	30800/30800	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:07:04%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_setting.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_setting.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:21	34530/34530	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:08%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_jobs.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_jobs.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:22	34393/34393	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:30%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_bids.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_bids.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:22	23340/23340	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:07:38%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_portfolio.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_portfolio.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:22	24735/24735	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:22%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_bookmarks.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_bookmarks.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:22	24576/24576	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:07:44%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_payments.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/my_freelancer_payments.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:23	10993/10993	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:05:12%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/sign_in.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/sign_in.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:23	11504/11504	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b3a3e40-2cf0-5976f1602ce80-gzip%22	https://gambolthemes.net/html-items/jobby/jobby-freelancer/images/logo.svg	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/images/logo.svg	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:23	59452/59452	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:10:48%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/browse_jobs.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/browse_jobs.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:23	24622/24622	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:08:36%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/job_single_view.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/job_single_view.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:24	22992/22992	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:05:56%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/post_a_job.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/post_a_job.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
12:00:24	45017/45017	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2001:10:42%20GMT	https://gambolthemes.net/html-items/jobby/jobby-freelancer/browse_projects.html	C:/My%20Web%20Sites/QatarHiring/gambolthemes.net/html-items/jobby/jobby-freelancer/browse_projects.html	(from https://gambolthemes.net/html-items/jobby/jobby-freelancer/index.html)
